farm_id,date,month,year,data_type,data_source,s2_count,modis_count,s1_count,NDVI,EVI,SAVI,LAI,VV,VH
F001,2024-01-15,1,2024,vegetation,Satellite_Composite,5,3,0,0.608,0.476,0.542,2.43,,
F001,2024-02-15,2,2024,vegetation,Satellite_Composite,3,2,0,0.504,0.387,0.478,2.16,,
F001,2024-03-15,3,2024,vegetation,Satellite_Composite,8,2,0,0.532,0.447,0.483,2.45,,
F001,2024-04-15,4,2024,vegetation,Satellite_Composite,8,1,0,0.447,0.341,0.423,1.56,,
F001,2024-05-15,5,2024,vegetation,Satellite_Composite,7,4,0,0.458,0.372,0.427,1.6,,
F001,2024-06-15,6,2024,vegetation,Satellite_Composite,3,1,0,0.589,0.474,0.521,2.49,,
F001,2024-06-15,6,2024,soil_moisture,Sentinel_1,0,0,3,,,,,-11.16,-16.61
F001,2024-07-15,7,2024,vegetation,Satellite_Composite,3,2,0,0.649,0.515,0.57,2.76,,
F001,2024-07-15,7,2024,soil_moisture,Sentinel_1,0,0,2,,,,,-12.02,-15.75
F001,2024-08-15,8,2024,vegetation,Satellite_Composite,6,4,0,0.546,0.43,0.508,2.02,,
F001,2024-08-15,8,2024,soil_moisture,Sentinel_1,0,0,3,,,,,-10.0,-16.32
F001,2024-09-15,9,2024,vegetation,Satellite_Composite,4,2,0,0.567,0.438,0.494,2.68,,
F001,2024-09-15,9,2024,soil_moisture,Sentinel_1,0,0,3,,,,,-12.0,-14.83
F001,2024-10-15,10,2024,vegetation,Satellite_Composite,4,4,0,0.602,0.464,0.521,2.23,,
F001,2024-10-15,10,2024,soil_moisture,Sentinel_1,0,0,2,,,,,-11.94,-15.03
F001,2024-11-15,11,2024,vegetation,Satellite_Composite,3,1,0,0.581,0.484,0.525,1.87,,
F001,2024-11-15,11,2024,soil_moisture,Sentinel_1,0,0,6,,,,,-12.58,-19.29
F001,2024-12-15,12,2024,vegetation,Satellite_Composite,6,3,0,0.59,0.463,0.515,2.35,,
