species_name,scientific_name,variety_name,tree_type,category,zone,spacing,density_per_ha,carbon_potential,economic_value,management,maturity_years,harvest_season,special_features
Mango,Mangifera indica,Alphonso,Fruit tree,Commercial fruit,West_Coast_Plains_Ghats,8m x 8m,156,4.5,Premium export variety,"Grafted, annual pruning",5.0,March-May,"King of mangoes, export quality"
Mango,Mangifera indica,Dashehari,Fruit tree,Commercial fruit,Middle_Gangetic_Plains,8m x 8m,156,4.2,High market demand,"Grafted, regular fertilization",4.0,June-July,"Sweet, popular in North India"
Mango,Mangifera indica,Banginapalli,Fruit tree,Commercial fruit,Southern_Plateau_Hills,8m x 8m,156,4.3,Premium variety,"Grafted, drip irrigation",5.0,April-May,"Large fruit, excellent taste"
Mango,Mangifera indica,Totapuri,Fruit tree,Processing fruit,Southern_Plateau_Hills,8m x 8m,156,4.0,Processing industry,"Grafted, minimal inputs",4.0,April-June,"High pulp recovery, processing grade"
Mango,Mangifera indica,Kesar,Fruit tree,Commercial fruit,Gujarat_Plains_Hills,8m x 8m,156,4.1,Premium Gujarat variety,"Grafted, protected cultivation",5.0,May-June,"Saffron color, aromatic"
Mango,Mangifera indica,Langra,Fruit tree,Commercial fruit,Upper_Gangetic_Plains,8m x 8m,156,4.0,Traditional favorite,"Grafted, organic inputs",4.0,July-August,"Green when ripe, sweet"
Mango,Mangifera indica,Himsagar,Fruit tree,Commercial fruit,Lower_Gangetic_Plains,8m x 8m,156,4.2,Bengal's pride,"Grafted, traditional methods",5.0,May-June,"Extremely sweet, thin skin"
Coconut,Cocos nucifera,West Coast Tall,Nut palm,Plantation crop,West_Coast_Plains_Ghats,7.5m x 7.5m,175,3.8,Continuous income,"Organic mulching, 3 months irrigation",6.0,Year round,"High copra content, tall variety"
Coconut,Cocos nucifera,East Coast Tall,Nut palm,Plantation crop,East_Coast_Plains_Hills,7.5m x 7.5m,175,3.9,Traditional variety,"Coastal adaptation, salt tolerance",6.0,Year round,"Salt tolerant, hardy"
Coconut,Cocos nucifera,Chowghat Orange Dwarf,Dwarf palm,High density planting,West_Coast_Plains_Ghats,5m x 5m,400,3.5,Early bearing,"High density, regular fertilization",3.0,Year round,"Early bearing, orange tender nut"
Coconut,Cocos nucifera,Malayan Dwarf,Dwarf palm,High density planting,West_Coast_Plains_Ghats,5m x 5m,400,3.4,Early income,"Intensive cultivation, drip irrigation",3.0,Year round,"Self-pollinating, early bearing"
Coconut,Cocos nucifera,Laccadive Ordinary,Tall palm,Island variety,Islands_Region,7.5m x 7.5m,175,4.0,Island specialty,"Island conditions, minimal inputs",7.0,Year round,"Island adapted, wind resistant"
Jackfruit,Artocarpus heterophyllus,Rudrakshi,Fruit tree,Multi-purpose tree,West_Coast_Plains_Ghats,10m x 10m,100,5.2,Fruit and timber,"Minimal pruning, organic inputs",6.0,March-August,"Small seeded, sweet"
Jackfruit,Artocarpus heterophyllus,Singapore,Fruit tree,Commercial variety,West_Coast_Plains_Ghats,10m x 10m,100,5.0,Export potential,"Regular fertilization, pruning",5.0,April-July,"Large fruit, good keeping quality"
Jackfruit,Artocarpus heterophyllus,Palur-1,Fruit tree,Improved variety,Southern_Plateau_Hills,10m x 10m,100,4.8,High yielding,Scientific cultivation,5.0,May-August,"Regular bearing, good quality"
Sesbania,Sesbania grandiflora,White flower,Nitrogen fixing,Multi-purpose tree,Eastern_Plateau_Hills,2m x 2m,2500,5.5,Fodder and fuelwood,Coppicing every 3-4 years,1.0,Year round,100-300 kg N/ha/yr fixation
Sesbania,Sesbania grandiflora,Red flower,Nitrogen fixing,Multi-purpose tree,Southern_Plateau_Hills,2m x 2m,2500,5.8,"Flowers edible, fodder","Regular harvesting, coppicing",1.0,Year round,"Edible flowers, high biomass"
Sesbania,Sesbania sesban,Common Sesbania,Nitrogen fixing,Fodder tree,Lower_Gangetic_Plains,2.5m x 2.5m,1600,5.0,Livestock fodder,Cut and carry system,1.0,Year round,"Fast growing, drought tolerant"
Sesbania,Sesbania aculeata,Prickly Sesbania,Nitrogen fixing,Green manure,Middle_Gangetic_Plains,1.5m x 1.5m,4444,4.8,Green manure,Annual cultivation,0.3,Before flowering,"Quick green manure, 60-80 kg N/ha"
Teak,Tectona grandis,Clone Teak,Timber tree,Premium timber,Eastern_Himalayan,8m x 8m,156,6.8,Premium timber,Silvicultural practices,25.0,Dry season,"Superior wood quality, clonal"
Teak,Tectona grandis,Seed Teak,Timber tree,Quality timber,Southern_Plateau_Hills,6m x 6m,278,6.5,Good timber,Natural regeneration,30.0,Dry season,"Traditional variety, seed origin"
Teak,Tectona grandis,Plantation Teak,Timber tree,Plantation forestry,Central_Plateau_Hills,4m x 4m,625,6.0,Industrial timber,High density plantation,20.0,Dry season,"Fast growing, industrial use"
Bamboo,Dendrocalamus strictus,Male Bamboo,Grass family,Multi-purpose,Eastern_Plateau_Hills,4m x 4m,625,8.5,"Construction, handicrafts",Sustainable harvesting,3.0,Dry season,"Solid culms, construction grade"
Bamboo,Bambusa bambos,Female Bamboo,Grass family,Multi-purpose,West_Coast_Plains_Ghats,4m x 4m,625,8.8,"Paper, construction",Clump management,3.0,Dry season,"Large culms, thorny"
Bamboo,Bambusa arundinacea,Spiny Bamboo,Grass family,Industrial bamboo,Southern_Plateau_Hills,5m x 5m,400,8.0,Paper industry,Industrial harvesting,4.0,Post monsoon,High fiber content
Bamboo,Dendrocalamus hamiltonii,Hamilton's Bamboo,Grass family,Giant bamboo,Eastern_Himalayan,6m x 6m,278,9.2,"Construction, shoots",Large clump management,4.0,Winter,"Largest bamboo, edible shoots"
Bamboo,Bambusa pallida,Female Bamboo,Grass family,Medium bamboo,Eastern_Himalayan,4m x 4m,625,7.8,"Handicrafts, construction",Sustainable harvesting,3.0,Dry season,"Medium sized, versatile use"
Neem,Azadirachta indica,Local Neem,Multi-purpose tree,Medicinal tree,Southern_Plateau_Hills,5m x 5m,400,4.8,"Medicinal, biopesticide",Minimal inputs required,5.0,Year round,"Pest control, medicinal properties"
Neem,Azadirachta indica,Improved Neem,Multi-purpose tree,Commercial variety,Gujarat_Plains_Hills,5m x 5m,400,5.0,Higher azadirachtin,Scientific cultivation,4.0,Year round,Higher active compounds
Tamarind,Tamarindus indica,Sweet Tamarind,Fruit tree,Multi-purpose tree,Southern_Plateau_Hills,10m x 10m,100,4.5,"Fruit, timber",Long-term planning,8.0,February-May,"Sweet pods, long-lived tree"
