variety_name,type,zone,duration_days,yield_potential,water_requirement,soil_preference,carbon_potential,characteristics,special_features
Ranjit,Medium duration indica,Eastern_Himalayan,135,4-5 t/ha,High,"Acidic, well-drained",3.0,"Cold tolerant, good for hilly areas",Resistant to blast disease
Bahadur,Long duration indica,Eastern_Himalayan,155,5-6 t/ha,High,Acidic to neutral,3.2,"High yielding, photosensitive","Good grain quality, aromatic"
IR-36,Semi-dwarf indica,Eastern_Himalayan,125,6-7 t/ha,Medium,Neutral to alkaline,2.8,"Early maturing, high tillering","Disease resistant, widely adapted"
Masuri,Traditional indica,Eastern_Himalayan,140,3-4 t/ha,Medium,Acidic,2.5,"Traditional variety, aromatic","Local adaptation, cultural preference"
Swarna,Semi-dwarf indica,Lower_Gangetic_Plains,125,6-7 t/ha,Medium,"Alluvial, neutral pH",3.0,"High yielding, good grain quality","Widely adapted, BLB resistant"
IR-64,Semi-dwarf indica,Lower_Gangetic_Plains,120,7-8 t/ha,Medium,Alluvial soils,3.1,"High yielding, early maturity",Multiple disease resistance
Satabdi,Semi-dwarf indica,Lower_Gangetic_Plains,135,5-6 t/ha,Medium,Alluvial to clay,2.9,"Medium duration, good tillering",Suitable for direct seeding
Lalat,Semi-dwarf indica,Lower_Gangetic_Plains,140,5-6 t/ha,Medium,Clay to loam,3.0,Good for wet season,Submergence tolerant
Swarna,Semi-dwarf indica,Middle_Gangetic_Plains,125,6-7 t/ha,Medium,"Alluvial, neutral pH",3.0,"High yielding, good grain quality","Widely adapted, BLB resistant"
IR-64,Semi-dwarf indica,Middle_Gangetic_Plains,120,7-8 t/ha,Medium,Alluvial soils,3.1,"High yielding, early maturity",Multiple disease resistance
Rajendra Mahsuri,Semi-dwarf indica,Middle_Gangetic_Plains,135,6-7 t/ha,Medium,Alluvial to clay,3.2,"High yielding, good quality",Resistant to bacterial blight
Saryu-52,Semi-dwarf indica,Middle_Gangetic_Plains,130,5-6 t/ha,Medium,Alluvial soils,2.9,"Medium duration, stable yield",Drought tolerant
Pusa-44,Semi-dwarf indica,Upper_Gangetic_Plains,125,7-8 t/ha,Medium,"Alluvial, alkaline tolerant",3.1,"High yielding, early maturity",Salt and alkali tolerant
CSR-30,Semi-dwarf indica,Upper_Gangetic_Plains,130,6-7 t/ha,Low-medium,Saline-alkaline,2.8,Salt tolerant,Suitable for problem soils
Pusa Basmati-1121,Aromatic long grain,Upper_Gangetic_Plains,145,4-5 t/ha,Medium,Well-drained loam,2.5,Premium aromatic rice,"Export quality, high market value"
PRH-10,Hybrid indica,Upper_Gangetic_Plains,135,8-9 t/ha,Medium,Fertile alluvial,3.3,High yielding hybrid,Superior heterosis effect
PR-114,Semi-dwarf indica,Trans_Gangetic_Plains,125,7-8 t/ha,Medium,Alluvial,3.0,"High yielding, early maturity",Suitable for machine harvesting
